Org_name,Latitude,Longitude,Street_address,Area of the city,zip,City,state,Division,Subdivision,Category,Website
North Lawndale Employment Network,41.8727918,-87.7191716,3726 W Flournoy St,East Garfield Park,,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,http://www.nlen.org/programs/
Poder Learning Center,41.858625,-87.6573141,1637 S Allport St,Lower West Side,,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,http://poderworks.org/
Reap,41.8562544,-87.6857551,1850 S Western Ave,Lower West Side,,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,http://projectreap.org/
Ron's Staffing Services,41.8479551,-87.6852173,2413 S Western Ave,Lower West Side,60608,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Job training,http://www.ronsstaffingservices.com/
Labor Temps,41.8442342,-87.7068772,3247 W 26Th St,South Lawndale,60623,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Posted Job Openings,
Skills for Chicagoland's Future,41.8855345,-87.6366761,191 N Wacker Dr,Loop,60606,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Posted Job Openings,
Chicago Urban League,41.768594,-87.6462336,846 W 69Th St,Englewood,,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Pre-apprenticeship / apprenticeship training,
"Chicago Youth Boxing Club, Inc.",41.849641,-87.716496,2303 S Millard Ave,,60623,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Resume developement,http://chicagoyouthboxingclub.org/
Leaders Up,41.87647,-87.648036,815 W Van Buren,West Loop,60607,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Resume developement,http://www.leadersup.org/community/
Neopolitan Lighthouse ,41.897447,-87.710235,864 N Christiana Ave,Humboldt Park,,Chicago,Illinois,Job Training and Placement Supports,Pre-employment Training,Resume developement,https://www.nhschicago.org/
Alternative Schools Network,41.9631175,-87.6748518,1808 W Sunnyside Ave,Ravenswood,60640,Chicago,Illinois,Education and skill building supports,Secondary Education,Academic instruction,http://www.asnchicago.org/ys3
Big Shoulders Fund ,41.8769746,-87.6341629,212 W Van Buren,Loop,60607,Chicago,Illinois,Education and skill building supports,Secondary Education,Academic instruction,http://www.bigshouldersfund.org/our-programs/
Chicago Job Corps Center,41.8319456,-87.7080314,3348 S Kedzie Ave,South Lawndale,60623,Chicago,Illinois,Education and skill building supports,Secondary Education,Academic instruction,https://paulsimonchicago.jobcorps.gov/node/22
Chicago Lighthouse,41.8672328,-87.6724245,1850 W Roosevelt Rd,Near West Side,60608,Chicago,Illinois,Education and skill building supports,Secondary Education,Academic instruction,http://chicagolighthouse.org/
Chinese American Service League,41.854391,-87.63558,2142 S Tan Ct,,60616,Chicago,Illinois,Education and skill building supports,Secondary Education,Academic instruction,https://www.caslservice.org/
Gear Up,41.89612,-87.648312,771 N Halsted Stæ,,60642,Chicago,Illinois,Education and skill building supports,Secondary Education,Academic instruction,http://www.chicagogearup.org/about-gear-up.html
Holy Family Ministries,41.869694,-87.711774,3415 W Arthington St,,60624,Chicago,Illinois,Education and skill building supports,Secondary Education,Academic Instruction,http://www.holyfamilyministries.org/
Holy Family Ministries,41.869694,-87.711774,3415 W Arthington St,,60624,Chicago,Illinois,Education and skill building supports,Secondary Education,Academic Instruction,
Alternative Schools Network,41.9631175,-87.6748518,1809 W Sunnyside Ave,Ravenswood,60640,Chicago,Illinois,Education and skill building supports,Secondary Education,Academic mentoring,http://www.asnchicago.org/ys3
Chicago Tutoring Connection,41.89704,-87.639284,410 W Chicago Ave,,60610,Chicago,Illinois,Education and skill building supports,Secondary Education,Academic mentoring,https://myctc.org/about/
Chinese American Service League,41.854391,-87.63558,2143 S Tan Ct,,60616,Chicago,Illinois,Education and skill building supports,Secondary Education,Academic mentoring,https://www.caslservice.org/
Casa Romero Holy Cross,41.811836,-87.664647,4515 S. Ashland Ave,,60609,Chicago,Illinois,Education and skill building supports,Secondary Education,After school or summer school services,
Casa Romero Holy Cross,41.8102131,-87.6714191,4600 S Honore St,,,Chicago,Illinois,Education and skill building supports,Secondary Education,After school or summer school services,http://www.hcihm.org/youth/educational-supports/casa-romero/
Changing Life Education Initiative,41.756497,-87.635087,400 W 76Th St,,60620,Chicago,Illinois,Education and skill building supports,Secondary Education,After school or summer school services,http://www.changinglifeinc.com/
Changing Life Education Initiative,41.756497,-87.635087,401 W 76Th St,,60620,Chicago,Illinois,Education and skill building supports,Secondary Education,After school or summer school services,
Chicago Arts Partnership In Education,41.8797138,-87.6722893,1815 W Monroe St,Near West Side,,Chicago,Illinois,Education and skill building supports,Secondary Education,After school or summer school services,
Chicago Children's Museumæ,41.891408,-87.609144,700 E Grand Ave,Near North Side,60611,Chicago,Illinois,Education and skill building supports,Secondary Education,After school or summer school services,
Holy Family Ministries,41.869694,-87.711774,3415 W Arthington St,,60624,Chicago,Illinois,Education and skill building supports,Secondary Education,After school or summer school services,http://www.holyfamilyministries.org/
Holy Family Ministries,41.869694,-87.711774,3415 W Arthington St,,60624,Chicago,Illinois,Education and skill building supports,Secondary Education,After school or summer school services,
Indo-American Center,41.9966025,-87.6997416,6328 N California Ave,West Rogers Park,60659,Chicago,Illinois,Education and skill building supports,Secondary Education,After school or summer school services,
K.L.E.O. Community Family Life Center,41.794097,-87.621743,119 E Garfield Blvd,,60637,Chicago,Illinois,Education and skill building supports,Secondary Education,After school or summer school services,
Love to Serve,41.724623,-87.68175,9259 S Western Ave,Chicago,60643,,Illinois,Education and skill building supports,Secondary Education,After school or summer school services,
Project Danztheatre Company DBA Chicao Danztheatre Ensemble,41.9765069,-87.6716285,1650 W Foster Ave,Andersonville,60640,Chicago,Illinois,Education and skill building supports,Secondary Education,After school or summer school services,
The Community Film Workshop of Chicago,41.7821713,-87.6044919,6200 S Drexel Ave,Woodlawn,60637,Chicago,Illinois,Education and skill building supports,Secondary Education,After school or summer school services,
Austin People's Action Center,41.8947084,-87.7540449,5125 W Chicago Ave,Austin,60644,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://austinpeoplesactioncenter.org/programs/
"Chicago Youth Boxing Club, Inc.",41.849641,-87.716496,2301 S Millard Ave,,60623,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://chicagoyouthboxingclub.org/
Chicago Youth Shakespeare,41.955285,-87.679928,4044 N Lincoln Ave,North Center,60618,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://www.chicagoyouthshakespeare.org/
Circesteem Inc.,41.968157,-87.655004,4730 N Sheridan Rd,,60640,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://circesteem.org/services/circesteem-scholarship-fund/
Common Threads,41.8882441,-87.6353879,222 W Merchandise Mart,Near North Side,60654,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://www.commonthreads.org/
Divine Purpose Youth Performing Arts,41.882293,-87.739455,4540 W Washington Blvd,,60624,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://www.divinepurposeyouth.org/
Family Rescue Inc,41.7280317,-87.5514868,9204 S Commercial Ave,North Lawndale,,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,https://familyrescueinc.org/programs-services/ridgeland-apartments-daycare/
Gear Up,41.89612,-87.648312,772 N Halsted Stæ,,60642,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://www.chicagogearup.org/about-gear-up.html
Horizons for Youth,41.8803934,-87.6443738,703 W Monroe St,West Loop Gate,60661,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://horizons-for-youth.org/programs/
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://howardarea.org/adults/
I Grow Chicago,41.777353,-87.670586,6402 S Honore St,West Englewood,60636,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://www.igrowchicago.org/programs/
Lookingglass Theater Company ,41.897369,-87.623796,821 N Michigan Ave,Near North Side,60611,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,https://lookingglasstheatre.org/
Muntu Dance Theatre,41.7658773,-87.580999,1809 E 71St St,South Side,60649,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://www.muntu.com/#arts-education
Neighborhood Boys & Girls Club,41.9555491,-87.6838019,4046 N Leavitt St,North Center,60618,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://www.nbgc.org/
Open Books,41.8853831,-87.6447707,651 W Lake St,West Loop Gate,60661,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://www.open-books.org/
Puerto Rican Arts Alliance,41.9077397,-87.7014119,1440 N Humboldt Dr,West Town,60622,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://www.praachicago.org/
"Right At School, LLC",41.7658773,-87.580999,1809 E 71St St,South Side,60649,Chicago,Illinois,Education and skill building supports,Secondary Education,Afterschool and summer programs,http://www.ronsstaffingservices.com/
Casa Romero Holy Cross,41.811836,-87.664647,4515 S. Ashland Ave,,60609,Chicago,Illinois,Education and skill building supports,Secondary Education,Career focused instruction,http://www.hcihm.org/youth/educational-supports/casa-romero/
Casa Romero Holy Cross,41.8102131,-87.6714191,4600 S Honore St,,,Chicago,Illinois,Education and skill building supports,Secondary Education,Career focused instruction,http://www.hcihm.org/youth/educational-supports/casa-romero/
Chicago Job Corps Center,41.8319456,-87.7080314,3349 S Kedzie Ave,South Lawndale,60623,Chicago,Illinois,Education and skill building supports,Secondary Education,Career focused instruction,https://paulsimonchicago.jobcorps.gov/node/23
Alternative Schools Network,41.9631175,-87.6748518,1810 W Sunnyside Ave,Ravenswood,60640,Chicago,Illinois,Education and skill building supports,Secondary Education,GED or HS Diploma preparation,http://www.asnchicago.org/ys3
Chicago Job Corps Center,41.8319456,-87.7080314,3350 S Kedzie Ave,South Lawndale,60623,Chicago,Illinois,Education and skill building supports,Secondary Education,GED or HS Diploma preparation,https://paulsimonchicago.jobcorps.gov/node/18
Chicago Urban League,41.768594,-87.6462336,845 W 69Th St,Englewood,,Chicago,Illinois,Education and skill building supports,Secondary Education,GED or HS Diploma preparation,
"Family Focus, Inc.",41.7686284,-87.6709947,1858 W 69Th St,Near West Side,60607,Chicago,Illinois,Education and skill building supports,Secondary Education,GED or HS Diploma preparation,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.771138,-87.682974,6727 S Western Ave,West Englewood,60636,Chicago,Illinois,Education and skill building supports,Secondary Education,GED or HS Diploma preparation,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8694047,-87.7137641,3517 W Arthington St,Chicago Lawn,,Chicago,Illinois,Education and skill building supports,Secondary Education,GED or HS Diploma preparation,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8774019,-87.6499203,310 S Peoria St,Near West Side,60607,Chicago,Illinois,Education and skill building supports,Secondary Education,GED or HS Diploma preparation,http://www.family-focus.org/how-we-help/programs-services
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Education and skill building supports,Secondary Education,GED or HS Diploma preparation,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Education and skill building supports,Secondary Education,GED or HS Diploma preparation,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Education and skill building supports,Secondary Education,GED or HS Diploma preparation,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Education and skill building supports,Secondary Education,GED or HS Diploma preparation,http://howardarea.org/adults/
David Jackson Resources Foundation,41.8831756,-87.721688,3820 W West End,West Garfield Park,,Chicago,Illinois,Education and skill building supports,Secondary Education,GED or HS Diploma preparation,
Alternative Schools Network,41.9631175,-87.6748518,1811 W Sunnyside Ave,Ravenswood,60640,Chicago,Illinois,Education and skill building supports,Secondary Education,High school re-enrollment,http://www.asnchicago.org/ys3
Alternative Schools Network,41.9631175,-87.6748518,1812 W Sunnyside Ave,Ravenswood,60640,Chicago,Illinois,Education and skill building supports,Secondary Education,High school re-enrollment,http://www.asnchicago.org/ys3
Changing Life Education Initiative,41.756497,-87.635087,402 W 76Th St,,60620,Chicago,Illinois,Education and skill building supports,Secondary Education,High school re-enrollment,http://www.changinglifeinc.com/
Changing Life Education Initiative,41.756497,-87.635087,403 W 76Th St,,60620,Chicago,Illinois,Education and skill building supports,Secondary Education,High school re-enrollment,
Chicago Youth Shakespeare,41.955285,-87.679928,4045 N Lincoln Ave,North Center,60618,Chicago,Illinois,Education and skill building supports,Secondary Education,In-school programs,http://www.chicagoyouthshakespeare.org/
Circesteem Inc.,41.968157,-87.655004,4731 N Sheridan Rd,,60640,Chicago,Illinois,Education and skill building supports,Secondary Education,In-school programs,http://circesteem.org/services/circesteem-scholarship-fund/
Common Threads,41.8882441,-87.6353879,223 W Merchandise Mart,Near North Side,60654,Chicago,Illinois,Education and skill building supports,Secondary Education,In-school programs,http://www.commonthreads.org/
Gear Up,41.89612,-87.648312,773 N Halsted Stæ,,60642,Chicago,Illinois,Education and skill building supports,Secondary Education,In-school programs,http://www.chicagogearup.org/about-gear-up.html
I Grow Chicago,41.777353,-87.670586,6402 S Honore St,West Englewood,60636,Chicago,Illinois,Education and skill building supports,Secondary Education,In-school programs,http://www.igrowchicago.org/programs/
Imagination Theatre Inc,41.9692095,-87.6599036,4802 N Broadway St,Uptown,60640,Chicago,Illinois,Education and skill building supports,Secondary Education,In-school programs,http://imaginationtheater.org/
iMentor,41.877314,-87.624826,332 S. Michigan Ave,,60604,Chicago,Illinois,Education and skill building supports,Secondary Education,In-school programs,https://imentor.org/
Lookingglass Theater Company ,41.897369,-87.623796,821 N Michigan Ave,Near North Side,60611,Chicago,Illinois,Education and skill building supports,Secondary Education,In-school programs,https://lookingglasstheatre.org/
Muntu Dance Theatre,41.7658773,-87.580999,1809 E 71St St,South Side,60649,Chicago,Illinois,Education and skill building supports,Secondary Education,In-school programs,http://www.muntu.com/#arts-education
Chinese American Service League,41.854391,-87.63558,2144 S Tan Ct,,60616,Chicago,Illinois,Education and skill building supports,Secondary Education,Public benefits enrollment,https://www.caslservice.org/
Horizons for Youth,41.8803934,-87.6443738,703 W Monroe St,West Loop Gate,60661,Chicago,Illinois,Education and skill building supports,Secondary Education,School matching,http://horizons-for-youth.org/programs/
Chicago Home Tutor*,41.994478,-87.68504,2207 W Granville Ave,West Ridge,60659,Chicago,Illinois,Education and skill building supports,Secondary Education,Tutoring/Mentoring,http://chicagohometutor.com/
Chicago Job Corps Center,41.8319456,-87.7080314,3351 S Kedzie Ave,South Lawndale,60623,Chicago,Illinois,Education and skill building supports,Secondary Education,Tutoring/Mentoring,https://paulsimonchicago.jobcorps.gov/node/20
Circesteem Inc.,41.968157,-87.655004,4732 N Sheridan Rd,,60640,Chicago,Illinois,Education and skill building supports,Secondary Education,Tutoring/Mentoring,http://circesteem.org/services/circesteem-scholarship-fund/
Dime Child Foundation,41.868372,-87.626325,1130 S Wabash Ave,,60605,Chicago,Illinois,Education and skill building supports,Secondary Education,Tutoring/Mentoring,https://www.idealist.org/en/nonprofit/de3d6ebf899e4210877660484e6751be-dime-child-foundation-chicago?
Divine Purpose Youth Performing Arts,41.882293,-87.739455,4540 W Washington Blvd,,60624,Chicago,Illinois,Education and skill building supports,Secondary Education,Tutoring/Mentoring,http://www.divinepurposeyouth.org/
Family Matters,41.771138,-87.682974,6727 S Western Ave,West Englewood,60636,Chicago,Illinois,Education and skill building supports,Secondary Education,Tutoring/Mentoring,
Gear Up,41.89612,-87.648312,774 N Halsted Stæ,,60642,Chicago,Illinois,Education and skill building supports,Secondary Education,Tutoring/Mentoring,http://www.chicagogearup.org/about-gear-up.html
Horizons for Youth,41.8803934,-87.6443738,703 W Monroe St,West Loop Gate,60661,Chicago,Illinois,Education and skill building supports,Secondary Education,Tutoring/Mentoring,http://horizons-for-youth.org/programs/
I Grow Chicago,41.777353,-87.670586,6402 S Honore St,West Englewood,60636,Chicago,Illinois,Education and skill building supports,Secondary Education,Tutoring/Mentoring,http://www.igrowchicago.org/programs/
iMentor,41.877314,-87.624826,332 S. Michigan Ave,,60604,Chicago,Illinois,Education and skill building supports,Secondary Education,Tutoring/Mentoring,https://imentor.org/
Inner Vision International,41.8671959,-87.6245443,1212 S Michigan Ave,Near South Side,60605,Chicago,Illinois,Education and skill building supports,Secondary Education,Tutoring/Mentoring,http://www.inner-vision-international.com/
Mercy Home for Boys and Girls,41.878745,-87.6557695,1127 W Adams St,Near West Side,60607,Chicago,Illinois,Education and skill building supports,Secondary Education,Tutoring/Mentoring,https://www.mercyhome.org/friends-first-mentoring/#.WY4KB3eGNjs
Mercy Home for Boys and Girls,41.8779878,-87.6559377,1140 W Jackson Blvd,Near West Side,60607,Chicago,Illinois,Education and skill building supports,Secondary Education,Tutoring/Mentoring,https://www.mercyhome.org/friends-first-mentoring/#.WY4KB3eGNjs
"Family Focus, Inc.",41.7686284,-87.6709947,1858 W 69Th St,Near West Side,60607,Chicago,Illinois,Education and skill building supports,Skill development,Citizenship classes,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.771138,-87.682974,6727 S Western Ave,West Englewood,60636,Chicago,Illinois,Education and skill building supports,Skill development,Citizenship classes,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8694047,-87.7137641,3517 W Arthington St,Chicago Lawn,,Chicago,Illinois,Education and skill building supports,Skill development,Citizenship classes,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8774019,-87.6499203,310 S Peoria St,Near West Side,60607,Chicago,Illinois,Education and skill building supports,Skill development,Citizenship classes,http://www.family-focus.org/how-we-help/programs-services
Indo-American Center,41.9966025,-87.6997416,6328 N California Ave,West Rogers Park,60659,Chicago,Illinois,Education and skill building supports,Skill development,Citizenship classes,
Chicago Job Corps Center,41.8319456,-87.7080314,3352 S Kedzie Ave,South Lawndale,60623,Chicago,Illinois,Education and skill building supports,Skill development,ESL,https://paulsimonchicago.jobcorps.gov/node/19
"Family Focus, Inc.",41.7686284,-87.6709947,1858 W 69Th St,Near West Side,60607,Chicago,Illinois,Education and skill building supports,Skill development,ESL,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.771138,-87.682974,6727 S Western Ave,West Englewood,60636,Chicago,Illinois,Education and skill building supports,Skill development,ESL,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8694047,-87.7137641,3517 W Arthington St,Chicago Lawn,,Chicago,Illinois,Education and skill building supports,Skill development,ESL,http://www.family-focus.org/how-we-help/programs-services
"Family Focus, Inc.",41.8774019,-87.6499203,310 S Peoria St,Near West Side,60607,Chicago,Illinois,Education and skill building supports,Skill development,ESL,http://www.family-focus.org/how-we-help/programs-services
Frida Kahlo Organization,41.8580439,-87.6580779,1244 W 18Th St,Lower West Side,60608,Chicago,Illinois,Education and skill building supports,Skill development,ESL,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.392865-Frida_Kahlo_Community_Organization
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Education and skill building supports,Skill development,ESL,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Education and skill building supports,Skill development,ESL,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Education and skill building supports,Skill development,ESL,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Education and skill building supports,Skill development,ESL,http://howardarea.org/adults/
Indo-American Center,41.9966025,-87.6997416,6328 N California Ave,West Rogers Park,60659,Chicago,Illinois,Education and skill building supports,Skill development,ESL,
Poder Learning Center,41.858625,-87.6573141,1637 S Allport St,Lower West Side,,Chicago,Illinois,Education and skill building supports,Skill development,ESL,http://poderworks.org/
Casa Romero Holy Cross,41.811836,-87.664647,4515 S. Ashland Ave,,60609,Chicago,Illinois,Education and skill building supports,Skill development,Leadership skills,http://www.hcihm.org/youth/educational-supports/casa-romero/
Casa Romero Holy Cross,41.8102131,-87.6714191,4600 S Honore St,,,Chicago,Illinois,Education and skill building supports,Skill development,Leadership skills,http://www.hcihm.org/youth/educational-supports/casa-romero/
Family Matters,41.8694047,-87.7137641,3517 W Arthington St,Chicago Lawn,,Chicago,Illinois,Education and skill building supports,Skill development,Leadership skills,
Alliance of the Southeast,41.7280317,-87.5514868,9204 S Commercial Ave,South Chicago,60617,Chicago,Illinois,Education and skill building supports,Skill development,Leadership skills ,http://www.asechicago.org/
Alternative Schools Network,41.9631175,-87.6748518,1813 W Sunnyside Ave,Ravenswood,60640,Chicago,Illinois,Education and skill building supports,Skill development,Leadership skills ,http://www.asnchicago.org/ys3
Dime Child Foundation,41.868372,-87.626325,1131 S Wabash Ave,,60605,Chicago,Illinois,Education and skill building supports,Skill development,Leadership skills ,https://www.idealist.org/en/nonprofit/de3d6ebf899e4210877660484e6751be-dime-child-foundation-chicago?
"Mikva Challenge Grant Foundation, Inc. dba Mikva Challenge",41.8774802,-87.6244466,332 S Michigan Ave,Loop,60604,Chicago,Illinois,Education and skill building supports,Skill development,Leadership skills ,http://www.mikvachallenge.org/
Neighborhood Boys & Girls Club,41.9555491,-87.6838019,4046 N Leavitt St,North Center,60618,Chicago,Illinois,Education and skill building supports,Skill development,Leadership skills ,http://www.nbgc.org/
Neighborhood Housing Services,41.7789875,-87.6889756,2609 W 63Rd St,Chicago Lawn,,Chicago,Illinois,Education and skill building supports,Skill development,Leadership skills ,https://www.nhschicago.org/
Neighborhood Housing Services,41.6942149,-87.6205519,11001 S Michigan Ave,Roseland,60628,Chicago,Illinois,Education and skill building supports,Skill development,Leadership skills ,https://www.nhschicago.org/
Neighborhood Housing Services,41.8943769,-87.7648595,757 N Central Ave,Austin,60644,Chicago,Illinois,Education and skill building supports,Skill development,Leadership skills ,https://www.nhschicago.org/
Chinese American Service League,41.854391,-87.63558,2145 S Tan Ct,,60616,Chicago,Illinois,Education and skill building supports,Skill development,Life skills,https://www.caslservice.org/
Connections Abused Women & Their Children,41.901496,-87.707581,1116 N Kedzie Ave,,60651,Chicago,Illinois,Education and skill building supports,Skill development,Life skills,http://www.cawc.org/cawc-program-stats/
Envision Unlimited - Halas Vocation Center,41.7387708,-87.6415504,8562 S Vincennes Ave,Auburn Gresham,60620,Chicago,Illinois,Education and skill building supports,Skill development,Life skills,http://www.envisionunlimited.org/
Family Rescue Inc,41.7280317,-87.5514868,9205 S Commercial Ave,North Lawndale,,Chicago,Illinois,Education and skill building supports,Skill development,Life skills,https://familyrescueinc.org/programs-services/ridgeland-apartments-daycare/
Housing Opportunities for Women,42.019196,-87.671522,1607 Howard St ,,60626,Chicago,Illinois,Education and skill building supports,Skill development,Life skills,https://www.how-inc.org/services
North Lawndale Employment Network,41.8727918,-87.7191716,3726 W Flournoy St,East Garfield Park,,Chicago,Illinois,Education and skill building supports,Skill development,Technology access,http://www.nlen.org/programs/
Alternative Schools Network,41.9631175,-87.6748518,1814 W Sunnyside Ave,Ravenswood,60640,Chicago,Illinois,Education and skill building supports,Skill development,Technology skills,http://www.asnchicago.org/ys3
Chicago Lighthouse,41.8672328,-87.6724245,1851 W Roosevelt Rd,Near West Side,60608,Chicago,Illinois,Education and skill building supports,Skill development,Technology skills,http://chicagolighthouse.org/
Howard Area Community Center,42.02042,-87.67275,7637 N. Paulina Street,,60626,Chicago,Illinois,Education and skill building supports,Skill development,Technology skills,http://howardarea.org/adults/
Howard Area Community Center,42.007619,-87.668974,1527 W. Morse Avenue,,60626,Chicago,Illinois,Education and skill building supports,Skill development,Technology skills,http://howardarea.org/adults/
Howard Area Community Center,42.018097,-87.671623,7500 N. Ashland Avenue,,60626,Chicago,Illinois,Education and skill building supports,Skill development,Technology skills,http://howardarea.org/adults/
Howard Area Community Center,42.020803,-87.673412,7648 N. Paulina Street,,60626,Chicago,Illinois,Education and skill building supports,Skill development,Technology skills,http://howardarea.org/adults/
Indo-American Center,41.9966025,-87.6997416,6328 N California Ave,West Rogers Park,60659,Chicago,Illinois,Education and skill building supports,Skill development,Technology skills,
Poder Learning Center,41.858625,-87.6573141,1637 S Allport St,Lower West Side,,Chicago,Illinois,Education and skill building supports,Skill development,Technology skills,http://poderworks.org/
Smart Chicago,41.9316225,-87.7130647,3415 W Diversey Ave,Logan Square,60647,Chicago,Illinois,Education and skill building supports,Skill development,Technology skills,
Big Shoulders Fund ,41.8769746,-87.6341629,213 W Van Buren,Loop,60607,Chicago,Illinois,Education and skill building supports,Skill development,Training educators,http://www.bigshouldersfund.org/our-programs/
Common Threads,41.8882441,-87.6353879,224 W Merchandise Mart,Near North Side,60654,Chicago,Illinois,Education and skill building supports,Skill development,Training educators,http://www.commonthreads.org/
Edmentum,41.8784101,-87.6340851,8th Fl 200 W,,60606,Chicago,Illinois,Education and skill building supports,Skill development,Training educators,
Gear Up,41.89612,-87.648312,775 N Halsted Stæ,,60642,Chicago,Illinois,Education and skill building supports,Skill development,Training educators,http://www.chicagogearup.org/about-gear-up.html
Imagination Theatre Inc,41.9692095,-87.6599036,4802 N Broadway St,Uptown,60640,Chicago,Illinois,Education and skill building supports,Skill development,Training educators,http://imaginationtheater.org/
Inner Vision International,41.8671959,-87.6245443,1212 S Michigan Ave,Near South Side,60605,Chicago,Illinois,Education and skill building supports,Skill development,Training educators,http://www.inner-vision-international.com/
Muntu Dance Theatre,41.7658773,-87.580999,1809 E 71St St,South Side,60649,Chicago,Illinois,Education and skill building supports,Skill development,Training educators,http://www.muntu.com/#arts-education
Childserv,41.9871006,-87.8459179,8765 W Higgins Rd,O'Hare,60631,Chicago,Illinois,Education and skill building supports,Skill development,Transitional housing,http://www.childserv.org/
Infiniteach,41.885383,-87.644481,641 W. Lake St,,60661,Chicago,Illinois,Education and skill building supports,Special Needs,Educational support for diverse learners,
Infiniteach,41.885383,-87.644481,641 W. Lake St,,60661,Chicago,Illinois,Education and skill building supports,Special Needs,Independence skills,
Chicago Lighthouse,41.8672328,-87.6724245,1852 W Roosevelt Rd,Near West Side,60608,Chicago,Illinois,Education and skill building supports,Special Needs,Independent Living,http://chicagolighthouse.org/
Envision Unlimited - Halas Vocation Center,41.7387708,-87.6415504,8564 S Vincennes Ave,Auburn Gresham,60620,Chicago,Illinois,Education and skill building supports,Special Needs,Independent Living,http://www.envisionunlimited.org/
Chicago Home Tutor*,41.994478,-87.68504,2208 W Granville Ave,West Ridge,60659,Chicago,Illinois,Education and skill building supports,Special Needs,Special Needs education ,http://chicagohometutor.com/
Easter Seals Metro Chicago,41.8646946,-87.6748055,1939 W 13Th St,Near West Side,60608,Chicago,Illinois,Education and skill building supports,Special Needs,Special Needs education ,http://www.easterseals.com/chicago/
